label,total_cost,violations,clipped_steps,min_soc,max_soc
SAFE RL (shield ON),1354.0299362509834,2,112,0.09999999999999998,0.95
PLAIN RL (shield OFF),1761.4499914889195,0,0,0.36899108012844056,0.6665142169888866
